Type,Timestamp,LogLevel,Service,Module,UserID,Action,Details
Not Compliant,2023-09-06 10:40:22,DEBUG,AuthUserService,AuthModule,UserID101,Invalid Login Attempt,Location: IP 123.45.67.89
Not Compliant,2023-09-06 11:20:30,INFO,ProductService,ProductModule,UserID303,Unauthorized Product Addition,ProductID: 789
Not Compliant,2023-09-06 12:15:18,INFO,CartService,CartModule,UserID202,Excessive Item Addition,CartID: 123
Not Compliant,2023-09-06 13:10:25,ERROR,ShippingService,ShippingModule,UserID404,Unauthorized Shipment Update,ShipmentID: 567
Not Compliant,2023-09-06 14:05:40,INFO,OrderService,OrderModule,UserID505,Unauthorized Order Placement,OrderID: 901
Not Compliant,2023-09-06 15:30:18,WARN,PaymentService,PaymentModule,UserID606,Fraudulent Payment Detected,TransactionID: 1234
Not Compliant,2023-09-06 16:20:22,INFO,AuthUserService,AuthModule,UserID101,Password Compromised,
Not Compliant,2023-09-06 17:15:30,DEBUG,ProductService,ProductModule,UserID303,Unauthorized Product Deletion,ProductID: 234
Not Compliant,2023-09-06 18:10:25,ERROR,CartService,CartModule,UserID202,Cart Manipulation Detected,CartID: 456 Total: $150
Not Compliant,2023-09-07 09:12:30,ERROR,ShippingService,ShippingModule,UserID404,Missing Shipment Validation,ShipmentID: 789
Not Compliant,2023-09-07 10:25:30,WARN,AuthUserService,AuthModule,UserID505,Account Hijacking Attempt,UserID: 101
Not Compliant,2023-09-07 11:15:20,INFO,ProductService,ProductModule,UserID202,Unauthorized Product Price Update,ProductID: 567 New Price: $25.99
Not Compliant,2023-09-07 12:20:10,DEBUG,CartService,CartModule,UserID303,Cart Exploited for Discounts,CartID: 789
Not Compliant,2023-09-07 13:05:18,ERROR,OrderService,OrderModule,UserID404,Order Tampering Detected,OrderID: 901
Not Compliant,2023-09-07 14:30:55,INFO,PaymentService,PaymentModule,UserID606,Payment Chargeback Initiated,TransactionID: 5678
Not Compliant,2023-09-07 15:55:30,DEBUG,ShippingService,ShippingModule,UserID101,Unauthorized Shipment Arrival,ShipmentID: 234
Not Compliant,2023-09-07 16:40:09,INFO,AuthUserService,AuthModule,UserID303,Password Brute Force Attack Detected,UserID: 505
Not Compliant,2023-09-07 17:25:17,WARN,InventoryService,InventoryModule,UserID404,Stock Manipulation Attempt,ProductID: 678 New Count: 100
Not Compliant,2023-09-07 18:10:25,ERROR,ProductService,ProductModule,UserID101,Unauthorized Product Review Submission,ProductID: 345
Not Compliant,2023-09-08 09:12:30,DEBUG,CartService,CartModule,UserID303,Unauthorized Wishlist Manipulation,UserID: 234
